,,Total,Avon and Somerset,Bedfordshire,Cambridgeshire,Cheshire,City of London,Cleveland,Cumbria,Derbyshire,Devon and Cornwall,Dorset,Durham,Dyfed Powys,Essex,Gloucestershire,Greater Manchester,Gwent,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,London Met.,Merseyside,Norfolk,North Wales,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Wales,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire
,Less than twelve months,3%,6%,3%,3%,3%,-,3%,3%,2%,1%,2%,2%,1%,2%,2%,3%,1%,1%,2%,2%,2%,3%,1%,2%,3%,1%,4%,1%,4%,3%,4%,3%,4%,5%,3%,2%,-,1%,3%,4%,4%,3%,3%,5%
,12 months but less than 2 years,3%,3%,5%,4%,2%,14%,4%,4%,4%,5%,3%,5%,2%,6%,3%,4%,4%,2%,8%,3%,1%,4%,1%,2%,5%,3%,3%,3%,1%,7%,3%,6%,2%,2%,2%,1%,3%,-,1%,3%,3%,3%,4%,3%
,2 years but less than 3 years,5%,6%,6%,8%,2%,-,4%,5%,7%,5%,5%,5%,1%,7%,7%,8%,3%,6%,2%,4%,6%,7%,7%,9%,7%,6%,7%,6%,9%,8%,4%,5%,4%,5%,7%,6%,6%,6%,5%,6%,3%,5%,1%,4%
,3 years but less than 5 years,9%,8%,10%,7%,8%,29%,8%,8%,11%,6%,7%,8%,11%,8%,11%,9%,6%,6%,13%,10%,2%,3%,7%,11%,11%,9%,4%,11%,8%,13%,7%,7%,13%,7%,10%,9%,10%,16%,7%,6%,7%,8%,10%,8%
,5 years but less than 10 years,17%,18%,14%,15%,23%,14%,15%,17%,16%,18%,13%,15%,11%,19%,19%,15%,10%,23%,17%,21%,21%,22%,20%,17%,19%,17%,22%,9%,22%,13%,18%,14%,9%,17%,15%,22%,17%,17%,19%,14%,14%,15%,17%,13%
,10 years but less than 20 years,22%,26%,25%,29%,21%,29%,18%,16%,16%,24%,24%,15%,23%,27%,23%,23%,24%,27%,28%,19%,22%,14%,20%,18%,25%,20%,25%,27%,19%,23%,24%,21%,14%,24%,16%,19%,26%,31%,22%,20%,25%,20%,21%,22%
,20 years or longer,41%,33%,37%,34%,42%,14%,49%,47%,44%,41%,46%,50%,52%,32%,35%,37%,52%,36%,31%,41%,46%,48%,45%,42%,30%,44%,35%,43%,38%,34%,41%,44%,55%,41%,47%,42%,39%,30%,43%,48%,45%,45%,44%,46%
,Don't know,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,LESS THAN 2 YEARS,6%,9%,8%,7%,5%,14%,7%,6%,6%,6%,4%,7%,3%,7%,5%,7%,5%,3%,10%,5%,3%,7%,2%,4%,8%,4%,7%,4%,5%,10%,7%,9%,6%,7%,5%,3%,3%,1%,4%,7%,7%,6%,7%,8%
,2 TO LESS THAN 5 YEARS,14%,14%,16%,15%,10%,29%,12%,13%,17%,11%,13%,13%,12%,15%,18%,17%,9%,12%,15%,14%,8%,10%,14%,19%,17%,15%,11%,17%,17%,21%,11%,12%,17%,12%,17%,15%,16%,22%,12%,12%,10%,13%,11%,12%
,5 TO LESS THAN 10 YEARS,17%,18%,14%,15%,23%,14%,15%,17%,16%,18%,13%,15%,11%,19%,19%,15%,10%,23%,17%,21%,21%,22%,20%,17%,19%,17%,22%,9%,22%,13%,18%,14%,9%,17%,15%,22%,17%,17%,19%,14%,14%,15%,17%,13%
,10 YEARS OR MORE,63%,59%,62%,63%,63%,43%,66%,64%,60%,65%,70%,65%,75%,59%,58%,61%,75%,62%,58%,59%,68%,62%,64%,60%,55%,64%,60%,69%,56%,57%,64%,65%,69%,64%,63%,60%,64%,60%,65%,67%,70%,65%,65%,68%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.2.,"If we were to define your “quality of life” as how you feel overall about your life, including your standard of living, your surroundings, friendships and how you feel day-to-day, how good or bad would you rate your quality of life?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very good,38%,43%,42%,40%,30%,86%,39%,42%,30%,48%,54%,23%,43%,39%,45%,31%,36%,40%,39%,43%,31%,37%,45%,37%,33%,38%,38%,49%,46%,34%,45%,35%,41%,23%,32%,43%,48%,41%,51%,39%,37%,32%,38%,49%
,Fairly good,43%,37%,43%,41%,55%,-,46%,42%,51%,30%,38%,56%,35%,43%,37%,44%,48%,44%,45%,41%,48%,41%,45%,48%,42%,37%,49%,37%,41%,42%,34%,46%,34%,49%,49%,42%,43%,43%,30%,43%,36%,47%,45%,35%
,Neither good nor bad,9%,6%,9%,10%,8%,-,11%,7%,12%,8%,2%,5%,10%,10%,9%,10%,8%,7%,9%,7%,10%,7%,6%,7%,8%,8%,8%,9%,7%,7%,12%,11%,9%,12%,7%,7%,5%,11%,12%,6%,11%,10%,9%,9%
,Fairly bad,6%,8%,4%,4%,2%,-,3%,6%,3%,6%,4%,9%,5%,4%,5%,9%,4%,5%,4%,4%,6%,5%,3%,7%,10%,8%,4%,1%,3%,13%,7%,3%,5%,8%,6%,9%,2%,2%,4%,5%,10%,5%,6%,5%
,Very bad,4%,6%,3%,3%,4%,14%,1%,3%,4%,6%,3%,7%,5%,3%,2%,5%,3%,5%,3%,6%,4%,9%,1%,2%,6%,9%,2%,4%,4%,4%,3%,3%,10%,7%,5%,-,3%,4%,2%,8%,6%,6%,2%,3%
,Don't know,1%,-,-,2%,1%,-,1%,-,-,2%,-,-,2%,1%,2%,1%,1%,-,1%,-,1%,1%,1%,-,1%,-,-,1%,-,-,-,2%,1%,2%,2%,-,-,-,1%,-,-,*,*,-
,GOOD,81%,80%,85%,81%,85%,86%,84%,84%,81%,78%,92%,79%,78%,82%,82%,75%,84%,83%,83%,83%,79%,78%,89%,84%,75%,75%,86%,85%,86%,76%,78%,81%,75%,71%,81%,84%,90%,83%,82%,81%,73%,79%,82%,83%
,BAD,10%,14%,7%,7%,6%,14%,4%,9%,7%,12%,6%,16%,10%,7%,7%,14%,7%,10%,7%,10%,10%,14%,4%,9%,16%,17%,6%,5%,7%,17%,10%,6%,15%,15%,10%,9%,5%,6%,6%,13%,15%,11%,9%,8%
,NET GOOD,71%,66%,78%,74%,79%,71%,80%,74%,75%,66%,86%,63%,69%,76%,75%,61%,77%,73%,76%,73%,69%,65%,85%,76%,60%,58%,81%,80%,79%,60%,68%,75%,61%,56%,70%,75%,85%,77%,76%,68%,58%,68%,73%,76%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.3.,"On the whole, do you think that over the past year your local area has got better or worse to live in, or haven't things changed much.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Much better,6%,10%,4%,9%,4%,-,8%,8%,6%,7%,6%,4%,6%,5%,4%,5%,1%,8%,3%,9%,3%,4%,6%,4%,6%,8%,10%,5%,5%,9%,8%,13%,4%,6%,10%,6%,3%,10%,5%,9%,7%,6%,8%,7%
,Slightly better,12%,14%,6%,6%,19%,-,16%,16%,16%,11%,16%,12%,7%,9%,9%,15%,16%,11%,5%,20%,13%,11%,13%,13%,13%,21%,13%,15%,11%,14%,16%,12%,9%,11%,13%,5%,10%,9%,13%,15%,9%,12%,12%,9%
,Has not changed much,46%,53%,50%,53%,50%,71%,43%,46%,40%,45%,49%,43%,53%,37%,55%,44%,42%,55%,48%,40%,40%,51%,53%,49%,42%,36%,50%,43%,56%,40%,43%,34%,57%,44%,43%,61%,55%,55%,50%,47%,50%,43%,38%,48%
,Slightly worse,17%,14%,26%,22%,17%,14%,14%,18%,19%,17%,14%,21%,18%,25%,19%,19%,19%,14%,22%,13%,26%,16%,14%,15%,12%,13%,17%,25%,17%,24%,12%,21%,16%,20%,16%,13%,17%,13%,15%,10%,15%,18%,20%,17%
,Much worse,17%,9%,13%,10%,11%,14%,18%,12%,19%,19%,13%,19%,16%,23%,12%,16%,22%,11%,21%,19%,17%,17%,13%,20%,24%,22%,11%,13%,11%,13%,21%,19%,15%,20%,18%,14%,15%,13%,16%,19%,19%,18%,20%,19%
,Don't know,1%,-,1%,-,-,-,2%,1%,-,1%,2%,1%,1%,-,1%,1%,-,1%,2%,-,1%,2%,2%,-,1%,-,1%,-,-,1%,1%,1%,-,-,-,1%,-,-,2%,1%,-,1%,1%,-
,BETTER,19%,24%,10%,15%,23%,-,24%,24%,22%,18%,22%,16%,13%,14%,13%,20%,17%,19%,8%,29%,16%,15%,19%,17%,20%,29%,22%,20%,16%,23%,24%,25%,13%,17%,23%,11%,13%,19%,17%,24%,15%,18%,20%,16%
,WORSE,35%,23%,39%,32%,27%,29%,32%,30%,38%,36%,27%,40%,33%,49%,31%,35%,40%,25%,43%,32%,43%,32%,27%,35%,37%,35%,27%,38%,28%,36%,33%,40%,30%,40%,34%,27%,32%,26%,30%,29%,34%,37%,41%,37%
,NET BETTER,-16%,1%,-30%,-17%,-5%,-29%,-8%,-6%,-16%,-18%,-4%,-24%,-21%,-35%,-18%,-15%,-23%,-6%,-35%,-3%,-27%,-18%,-8%,-18%,-17%,-6%,-5%,-18%,-12%,-14%,-9%,-15%,-18%,-23%,-11%,-16%,-19%,-7%,-13%,-5%,-19%,-18%,-21%,-21%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.4.,"Do you agree or disagree that your local area is a close, tight knit community?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Strongly agree,17%,19%,12%,16%,17%,14%,29%,23%,16%,18%,18%,26%,26%,14%,24%,18%,15%,15%,15%,18%,13%,20%,12%,20%,15%,19%,20%,24%,21%,11%,20%,14%,19%,17%,13%,16%,16%,14%,9%,16%,23%,13%,18%,19%
,Tend to agree,25%,21%,20%,27%,27%,29%,29%,30%,23%,32%,32%,19%,36%,26%,23%,23%,25%,21%,20%,20%,13%,24%,21%,20%,19%,20%,28%,34%,36%,21%,25%,32%,26%,27%,26%,37%,29%,29%,35%,23%,20%,26%,21%,26%
,Neither agree nor disagree,7%,11%,9%,8%,6%,-,6%,6%,7%,2%,6%,5%,4%,4%,7%,7%,4%,7%,6%,9%,7%,4%,13%,9%,7%,7%,7%,6%,3%,10%,5%,7%,11%,5%,10%,3%,8%,8%,6%,13%,12%,7%,8%,6%
,Tend to disagree,27%,29%,35%,24%,31%,29%,17%,23%,27%,27%,26%,27%,20%,31%,29%,26%,30%,32%,32%,27%,33%,24%,34%,24%,27%,23%,27%,19%,18%,31%,22%,26%,25%,22%,27%,29%,28%,34%,33%,21%,30%,27%,29%,28%
,Strongly disagree,21%,17%,23%,20%,15%,14%,18%,13%,25%,20%,15%,22%,10%,23%,15%,23%,25%,23%,26%,24%,32%,29%,19%,21%,31%,29%,16%,14%,19%,25%,26%,19%,17%,27%,19%,16%,18%,13%,16%,22%,13%,24%,22%,19%
,Don't know,3%,3%,1%,5%,4%,14%,2%,5%,2%,1%,3%,1%,4%,2%,2%,3%,2%,3%,2%,3%,2%,-,2%,5%,3%,2%,2%,4%,4%,2%,3%,3%,3%,3%,5%,-,2%,3%,2%,6%,1%,3%,2%,1%
,AGREE,42%,40%,32%,43%,44%,43%,57%,53%,39%,50%,50%,45%,63%,40%,47%,41%,39%,36%,35%,38%,26%,43%,33%,41%,33%,39%,49%,57%,56%,31%,45%,46%,45%,44%,39%,52%,45%,43%,44%,39%,43%,38%,39%,46%
,DISAGREE,48%,46%,58%,44%,46%,43%,35%,36%,52%,47%,41%,49%,29%,54%,44%,48%,55%,54%,57%,50%,65%,53%,53%,46%,57%,52%,43%,33%,37%,57%,48%,45%,41%,49%,46%,45%,46%,47%,49%,43%,44%,51%,51%,48%
,NET AGREE,-6%,-6%,-26%,-1%,-2%,0%,23%,17%,-14%,3%,9%,-4%,33%,-14%,3%,-7%,-16%,-19%,-23%,-13%,-39%,-10%,-20%,-5%,-24%,-13%,6%,25%,20%,-25%,-3%,1%,4%,-5%,-7%,8%,-1%,-4%,-5%,-4%,-1%,-13%,-12%,-2%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.5.,How strongly do you feel you belong to your local area?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very strongly,23%,25%,20%,23%,25%,43%,35%,30%,20%,23%,29%,26%,33%,14%,25%,21%,23%,19%,21%,30%,22%,29%,20%,23%,18%,21%,27%,26%,28%,22%,29%,19%,25%,17%,23%,22%,26%,19%,23%,23%,30%,20%,23%,24%
,Fairly strongly,40%,41%,41%,41%,43%,29%,42%,46%,42%,40%,43%,34%,43%,46%,37%,37%,41%,40%,37%,34%,35%,34%,45%,41%,36%,31%,45%,49%,40%,31%,36%,48%,37%,39%,35%,48%,43%,49%,42%,36%,32%,39%,40%,44%
,Not very strongly,22%,19%,19%,21%,16%,29%,12%,16%,24%,25%,18%,19%,17%,28%,22%,24%,22%,27%,26%,24%,25%,21%,23%,23%,24%,27%,18%,13%,19%,33%,20%,16%,20%,24%,23%,23%,18%,24%,21%,24%,24%,24%,20%,23%
,Not at all strongly,14%,14%,19%,14%,17%,-,12%,8%,11%,10%,8%,19%,7%,12%,14%,16%,13%,14%,16%,10%,15%,14%,13%,13%,18%,19%,9%,11%,14%,13%,16%,15%,13%,18%,18%,8%,11%,9%,14%,16%,11%,15%,14%,8%
,Don't know,1%,1%,1%,1%,-,-,-,1%,2%,2%,2%,2%,-,-,2%,1%,1%,1%,1%,3%,3%,2%,-,-,3%,2%,1%,2%,-,1%,-,2%,5%,3%,1%,-,3%,-,-,2%,2%,2%,2%,1%
,STRONGLY,63%,66%,61%,64%,68%,71%,76%,75%,62%,63%,72%,60%,76%,60%,62%,59%,64%,58%,57%,63%,57%,64%,65%,64%,55%,52%,72%,74%,67%,53%,64%,67%,63%,55%,58%,69%,68%,67%,65%,58%,63%,59%,63%,68%
,NOT STRONGLY,36%,33%,38%,35%,32%,29%,24%,24%,35%,35%,26%,38%,24%,40%,36%,40%,35%,41%,42%,34%,40%,34%,35%,36%,42%,46%,27%,24%,33%,46%,36%,31%,32%,42%,41%,31%,29%,33%,35%,40%,35%,39%,35%,31%
,NET STRONGLY,27%,33%,23%,29%,35%,43%,52%,52%,27%,28%,46%,22%,53%,20%,26%,18%,29%,18%,16%,30%,17%,29%,30%,28%,12%,6%,45%,50%,35%,7%,29%,36%,30%,14%,17%,39%,40%,35%,30%,19%,28%,20%,29%,37%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.6.,Who do you think is responsible for dealing with anti-social behaviour in your local area?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Police,90%,92%,93%,93%,91%,100%,89%,92%,89%,89%,93%,93%,93%,95%,93%,90%,95%,91%,89%,86%,85%,90%,88%,95%,86%,90%,91%,92%,84%,90%,90%,88%,91%,89%,90%,93%,87%,87%,81%,92%,90%,90%,89%,86%
,Local council,36%,34%,30%,35%,40%,14%,38%,31%,37%,27%,27%,34%,29%,38%,35%,36%,46%,37%,44%,42%,33%,33%,43%,41%,45%,33%,32%,35%,29%,31%,44%,36%,34%,42%,40%,31%,27%,26%,36%,40%,33%,37%,32%,34%
,Parents/ family,16%,10%,12%,18%,23%,14%,12%,23%,11%,19%,25%,19%,14%,18%,14%,18%,13%,16%,15%,13%,17%,16%,16%,17%,15%,14%,14%,16%,16%,16%,10%,13%,16%,9%,17%,13%,14%,18%,18%,20%,20%,15%,15%,17%
,The community as a whole,15%,22%,16%,13%,23%,29%,13%,14%,13%,16%,13%,13%,8%,10%,17%,18%,17%,10%,14%,13%,14%,13%,21%,12%,17%,21%,19%,17%,15%,20%,11%,8%,15%,13%,19%,9%,18%,14%,12%,14%,10%,20%,17%,13%
,People themselves/ individuals responsible,8%,14%,8%,8%,7%,14%,12%,6%,11%,9%,10%,8%,7%,7%,5%,9%,11%,7%,8%,5%,11%,8%,8%,9%,10%,9%,9%,9%,14%,15%,8%,9%,7%,4%,7%,8%,13%,9%,6%,6%,9%,7%,7%,12%
,Everyone,7%,14%,9%,8%,8%,14%,2%,8%,7%,7%,8%,4%,11%,1%,8%,7%,5%,11%,5%,7%,5%,7%,8%,1%,5%,10%,8%,13%,7%,8%,5%,8%,5%,7%,10%,4%,8%,5%,7%,9%,10%,7%,7%,10%
,Housing association/ social landlord,5%,5%,7%,5%,5%,14%,1%,4%,5%,2%,7%,4%,4%,4%,2%,8%,3%,9%,2%,3%,5%,3%,4%,6%,5%,9%,5%,1%,3%,2%,4%,1%,2%,6%,3%,1%,7%,3%,5%,1%,10%,4%,4%,10%
,PCSOs/Community Support Officers,4%,2%,2%,6%,3%,-,9%,4%,4%,1%,5%,3%,1%,1%,6%,4%,5%,2%,5%,4%,9%,7%,1%,2%,2%,1%,7%,4%,3%,9%,2%,7%,2%,4%,4%,3%,4%,9%,4%,6%,5%,3%,5%,2%
,The Government,4%,7%,3%,4%,4%,14%,4%,3%,4%,4%,4%,2%,2%,2%,3%,5%,4%,3%,4%,2%,5%,4%,3%,1%,7%,2%,3%,1%,-,3%,7%,2%,4%,3%,3%,4%,8%,5%,4%,5%,2%,4%,3%,1%
,Schools,4%,-,4%,5%,4%,-,2%,5%,3%,6%,9%,4%,4%,7%,3%,4%,3%,1%,8%,3%,5%,4%,3%,4%,4%,1%,5%,2%,5%,1%,2%,2%,3%,2%,7%,3%,6%,4%,4%,3%,2%,4%,4%,2%
,Neighbourhood watch,2%,5%,-,3%,1%,-,3%,2%,2%,1%,1%,1%,-,-,3%,*,2%,-,1%,5%,3%,4%,2%,2%,2%,-,2%,1%,1%,2%,-,3%,2%,2%,-,1%,3%,2%,1%,3%,1%,2%,2%,2%
,Wardens/Community wardens,1%,-,-,-,1%,-,14%,-,1%,-,1%,6%,1%,1%,1%,1%,4%,1%,-,1%,1%,-,-,-,1%,1%,3%,2%,-,1%,4%,5%,-,1%,-,1%,1%,1%,1%,1%,-,2%,1%,1%
,Politicians/MP's,1%,1%,1%,-,1%,-,-,2%,1%,-,1%,-,1%,1%,2%,1%,-,1%,1%,-,-,2%,1%,-,1%,-,1%,-,-,1%,1%,1%,2%,1%,-,1%,-,1%,1%,1%,-,1%,1%,-
,Local shops/ businesses,1%,2%,2%,-,-,-,2%,2%,1%,1%,1%,1%,-,-,-,1%,1%,-,2%,-,-,-,2%,-,1%,-,-,1%,1%,1%,1%,-,1%,-,1%,-,1%,-,-,-,1%,1%,*,1%
,Pubs/ clubs,1%,1%,2%,-,-,14%,1%,1%,-,1%,4%,1%,1%,-,-,1%,1%,1%,1%,-,1%,-,2%,1%,*,-,1%,1%,-,1%,-,-,-,-,1%,3%,-,1%,1%,1%,1%,*,*,1%
,Social Services/Social workers,*,-,1%,-,-,-,-,1%,-,-,-,-,3%,-,-,1%,1%,-,1%,-,-,-,1%,1%,*,3%,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,1%,*,1%,-
,Nobody,*,-,1%,-,-,-,-,-,1%,1%,1%,-,-,-,1%,1%,-,-,-,-,1%,-,-,-,-,-,-,1%,1%,-,-,-,2%,2%,1%,1%,-,1%,1%,-,-,-,*,-
,Anti-social Behavioural Team,*,-,-,-,-,-,1%,-,-,-,-,3%,-,-,1%,*,-,-,-,2%,-,-,-,1%,1%,1%,1%,-,-,-,2%,1%,-,-,-,-,-,-,-,-,-,-,*,2%
,Environmental Health,*,-,-,-,-,-,1%,1%,-,1%,-,1%,1%,-,-,*,-,-,-,-,-,-,-,-,*,-,-,1%,-,1%,-,-,-,2%,1%,-,2%,1%,2%,-,1%,*,-,1%
,Youth centres/Youth service,*,-,-,-,-,-,-,1%,1%,-,2%,-,-,1%,-,*,-,-,-,-,-,1%,1%,1%,*,2%,-,-,-,1%,1%,-,-,-,-,1%,1%,-,1%,-,-,*,-,-
,Courts/Magistrates,*,-,-,-,1%,-,-,1%,1%,-,1%,1%,1%,-,-,-,-,1%,-,-,-,-,1%,-,*,-,2%,-,1%,-,-,1%,1%,-,-,-,1%,-,1%,-,-,*,*,-
,Community groups,*,-,-,1%,1%,-,-,-,-,1%,1%,-,1%,-,-,1%,-,-,-,1%,1%,-,-,1%,*,-,-,-,1%,-,-,-,-,2%,-,-,-,-,-,1%,-,-,*,-
,Church members,*,-,-,-,-,-,-,-,-,-,2%,-,-,-,-,1%,-,-,-,1%,-,-,1%,-,*,-,-,-,-,1%,-,-,-,1%,1%,-,1%,-,1%,-,-,*,-,-
,Neighbours,*,-,1%,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,1%,-,-,-,1%,-,-,1%,-,-,2%,1%,-,-,1%,-,1%,1%,-,-,-,1%,-,-,*,1%
,Residents Association,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-,-,1%,-,-,-,-,*,-,-,1%,-,1%,-,-,-,1%,-,-,2%,-,-,1%,-,*,-,-
,Safer Neighbourhood Team,*,-,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,-,1%,-,-,-,-,1%,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-
,Doctors/hospitals,*,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-,2%,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,1%,-,*,-,-
,Rangers,*,-,-,-,-,-,-,-,1%,-,-,-,-,-,1%,-,2%,-,-,-,-,-,-,1%,-,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Community leaders,*,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,1%,1%,-,-,-,-,-
,Security staff,*,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,1%,1%,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,1%,-,-,-,-,-,-,-
,Charities,*,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,1%,-,-,-,-,-,1%,-,-,-,-,-,-
